YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ProportionParkingGFA,ProportionElectricity(kBtu),ProportionNaturalGas(kBtu),ProportionSteamUse(kBtu),Distribution Center,Hospital,Hotel,K-12 School,Laboratory,Large Office,Medical Office,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,University,Warehouse,Worship Facility
64,1,530039,98.0,28763498.0,723.47,1.36,0.0,0.5853631019827014,0.41463682585950573,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,3,54224,73.0,7668810.0,231.53,4.27,0.0,0.4603916105014908,0.5396082518556324,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
50,4,124342,76.0,8729918.0,66.3,0.53,0.0,0.9871826052951536,0.012817280627443965,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,3,55442,72.0,3313397.0,83.7,1.51,0.0,0.5826424355575318,0.4173574861027255,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,2,242795,80.0,9708318.0,123.71,0.51,0.0,0.8582871308212708,0.14171275997444618,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,5,84870,73.0,1617801.25,51.11,0.6,0.0,0.34933298325362594,0.6506669262709156,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,2,173185,79.0,7034167.5,242.36,1.4,0.0,0.293863274764733,0.7061366436395352,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1,145341,75.0,6337972.0,206.01,1.42,0.0,0.3391405898095633,0.6608594101904367,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,4,114297,61.0,2415462.5,69.44,0.61,0.0,0.43449168020869505,0.5655084388333829,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
55,2,184125,86.0,10067991.0,328.97,1.79,0.0,0.3408820980031117,0.6591179019968882,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1,234144,87.0,7874958.5,297.43,1.27,0.0,0.19524838467705477,0.8047516153229453,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,1,64984,72.0,3016373.5,35.78,0.55,0.0,0.8877119617293946,0.1122879533606715,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,1,67745,37.0,9589728.0,369.14,5.45,0.0,0.2842945397960591,0.7157054602039409,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
